Persian,English,Province
سياهکل,Siahkal,Gilan
سنگر,Sangar,Gilan
ضيابر,Ziabar,Gilan
پونل,Punel,Gilan
اردبيل,Ardabil,Gilan
آستارا,Astara,Gilan
خلخال,Khalkhal,Gilan
انزلي,Anzali,Gilan
رضوانشهر,Rezvanshahr,Gilan
امامزاده هاشم,Imamzadeh Hashem,Gilan
سراوان,Saravan,Gilan
رودبار,Rudbar,Gilan
رستم آباد,Rostamabad,Gilan
کوچصفهان,Kuchesfahan,Gilan
رشت,Rasht,Gilan
لوشان,Lowshan,Gilan
قزوین,Ghazvin,Gilan
حسن رود,Hasanrud,Gilan
فومن,Fuman,Gilan
بازارجمعه,Bazar Jomeh,Gilan
کياشهر,Kiashahr,Gilan
خمام,Khomam,Gilan
پيربازار,Pirbazar,Gilan
ماسوله,Masouleh,Gilan
لاکان,Lakan,Gilan
تالش,Talesh,Gilan
شاقاجي,Shaqaji,Gilan
چابکسر,Chaboksar,Gilan
کلاچاي,Kalachay,Gilan
جيرده,Jirdeh,Gilan
اسالم,Asalem,Gilan
طارم,Tarom,Gilan
منجيل,Manjil,Gilan
املش,Amlash,Gilan
رودسر,Rudsar,Gilan
آستانه,Astaneh,Gilan
ديلمان,Deylaman,Gilan
لاهيجان,Lahijan,Gilan
گيلوان,Gilvan,Gilan
رامسر,Ramsar,Gilan
لنگرود,Langarud,Gilan
صومعه سرا,Someh Sara,Gilan
آق چاي,Aq Chay,Gilan
مرز استان,Gilan Border,Gilan
کلان کلايه,Kalan Kalaye,Gilan
کياکلا,Kiyakala,Mazandaran
بابل,Babol,Mazandaran
گتاب,Gatab,Mazandaran
آمل,Amol,Mazandaran
قائمشهر,Qaemshahr,Mazandaran
فريدونکنار,Fereydunkenar,Mazandaran
بابلسر,Babolsar,Mazandaran
شاه زيد,Shahzeyd,Mazandaran
سه راه سنگچال,Se-rah-e Sangchal,Mazandaran
سه راه بلده,Se-rah-e Baladeh,Mazandaran
پارک جنگلي,Park Jangali,Mazandaran
کياسر,Kiasar,Mazandaran
ساري,Sari,Mazandaran
گرماب,Garmab,Mazandaran
سمنان,Semnan,Mazandaran
جويبار,Juybar,Mazandaran
نکا,Neka,Mazandaran
خزرآباد,Khazarabad,Mazandaran
شکتا,Shakta,Mazandaran
بهنمير,Behnamir,Mazandaran
زرگرشهر,Zargarshahr,Mazandaran
بهشهر,Behshahr,Mazandaran
بندر اميرآباد,Bandar-e Amirabad,Mazandaran
گلوگاه,Galugah,Mazandaran
کردکوي,Kordkuy,Mazandaran
زاغمرز,Zagheh Marz,Mazandaran
دابودشت,Dabudsht,Mazandaran
محمودآباد,Mahmudabad,Mazandaran
شيرگاه,Shirgah,Mazandaran
پل سفيد,Pol-e Sefid,Mazandaran
گرزين خيل,Garzin Kheil,Mazandaran
گدوک,Gaduk,Mazandaran
ورسک,Veresk,Mazandaran
نوشهر,Nowshahr,Mazandaran
چالوس,Chalus,Mazandaran
سی سنگان,Sisangan,Mazandaran
مرزن آباد,Marzanabad,Mazandaran
کلارآباد,Kalarabad,Mazandaran
عباس آباد,Abbasabad,Mazandaran
دوآب,Doab,Mazandaran
مکارود,Makarud,Mazandaran
سوادکوه,Savadkuh,Mazandaran
فيروزکوه,Firuzkuh,Mazandaran
کلاردشت,Kalardasht,Mazandaran
تنکابن,Tonekabon,Mazandaran
نور,Nur,Mazandaran
پنجاب,Panjab,Mazandaran
گزنک,Gazanak,Mazandaran
پلور,Polur,Mazandaran
کندوان,Kandovan,Mazandaran
سياه بيشه,Siah Bisheh,Mazandaran
هزارچم,Hazarcham,Mazandaran
رامسر,Ramsar,Mazandaran
چابکسر,Chaboksar,Mazandaran
امامزاده هاشم تهران,Imamzadeh Hashem Tehran,Mazandaran
کردکوي,Kordkuy,Golestan
بندر ترکمن,Bandar Torkaman,Golestan
گرگان,Gorgan,Golestan
گلوگاه,Galugah,Golestan
سه راهي يساقي,Se-rah-e Yasaqi,Golestan
آق قلا,Aq Qala,Golestan
گميشان,Gomishan,Golestan
گنبد,Gonbad,Golestan
مينودشت,Minudasht,Golestan
آزادشهر,Azadshahr,Golestan
اينچه برون,Incheh Borun,Golestan
سه راهي کلاله,Se-rah-e Kalaleh,Golestan
گاليکش,Galikesh,Golestan
خوش ییلاق,Khosh Yeylagh,Golestan
علي آباد,Aliabad,Golestan
شاهرود,Shahroud,Golestan
تنگراه,Tangrah,Golestan
جنگل گلستان,Golestan Forest,Golestan
کلاله,Kalaleh,Golestan
مرزپل,Marzpol,Golestan
مراوه تپه,Maraveh Tappeh,Golestan
آق چاي,Aq Chay,Gilan
آستارا,Astara,Gilan
علي آباد,Aliabad,Golestan
بندر اميرآباد,Amirabad Port,Mazandaran
قائمشهر,قائمشهر,Mazandaran
آمل,Amol,Mazandaran
رستم آباد,Rostamabad,Gilan
آستانه,Astaneh,Gilan
آق قلا,Aq Qala,Golestan
آزادشهر,Azadshahr,Golestan
عباس آباد,Abbasabad,Mazandaran
مرزن آباد,Marzanabad,Mazandaran
محمودآباد,Mahmudabad,Mazandaran
خزرآباد,Khazarabad,Mazandaran
دوآب,Doab,Mazandaran
کلارآباد,Kalarabad,Mazandaran
قائمشهر,Qaemshahr,Mazandaran
